id,ma_sv,ma_mon,diem_cc,diem_kt1,diem_kt2,diem_ck
1,SV001,MH001,9,8.0,8.5,9.0
2,SV002,MH001,8,6.5,7.0,7.5
3,SV003,MH002,7,5.0,6.0,6.5
4,SV004,MH003,5,3.0,4.0,3.0
5,SV005,MH004,9,9.0,8.0,8.5
6,SV006,MH005,8,7.5,7.0,8.0
8,SV008,MH003,9,8.5,8.0,9.0
9,SV009,MH004,7,4.0,4.5,3.5
10,SV010,MH005,8,8.0,7.5,8.5
11,SV011,MH001,6,5.0,5.0,5.5
12,SV012,MH002,5,3.5,3.0,3.0
13,SV013,MH003,9,9.0,9.0,9.5
14,SV014,MH004,7,7.0,6.5,7.0
15,SV015,MH005,8,6.0,7.0,7.0
16,SV016,MH001,9,8.5,9.0,8.5
17,SV017,MH002,6,4.0,4.0,4.0
